date,group,dissent
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.33333333333333337
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,0.33333333333333337
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,0.33333333333333337
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.33333333333333337
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,
2019-03-15,Groupe La République en Marche,0.0
2019-03-15,Groupe Les Républicains,0.0
2019-03-15,Groupe du Mouvement Démocrate et apparentés,0.0
2019-03-15,Groupe Socialistes et apparentés,0.0
2019-03-15,"Groupe UDI, Agir et Indépendants",0.0
2019-03-15,Groupe La France insoumise,0.0
2019-03-15,Groupe de la Gauche démocrate et républicaine,0.0
2019-03-15,Groupe Libertés et Territoires,0.0
2019-03-15,Groupe La République en Marche,0.0
