scrutin_id,date,group,pour,contre,abstention
1820,2019-03-27,Groupe La République en Marche,18,0,0
1820,2019-03-27,Groupe Les Républicains,0,0,0
1820,2019-03-27,Groupe du Mouvement Démocrate et apparentés,2,0,0
1820,2019-03-27,Groupe Socialistes et apparentés,0,0,0
1820,2019-03-27,"Groupe UDI, Agir et Indépendants",1,0,1
1820,2019-03-27,Groupe La France insoumise,0,0,0
1820,2019-03-27,Groupe de la Gauche démocrate et républicaine,0,0,0
1820,2019-03-27,Groupe Libertés et Territoires,0,0,0
1820,2019-03-27,Non inscrits,0,0,0
1819,2019-03-27,Groupe La République en Marche,40,2,3
1819,2019-03-27,Groupe Les Républicains,1,0,8
1819,2019-03-27,Groupe du Mouvement Démocrate et apparentés,4,0,1
1819,2019-03-27,Groupe Socialistes et apparentés,0,3,0
1819,2019-03-27,"Groupe UDI, Agir et Indépendants",5,1,0
1819,2019-03-27,Groupe La France insoumise,0,0,0
1819,2019-03-27,Groupe de la Gauche démocrate et républicaine,0,3,0
1819,2019-03-27,Groupe Libertés et Territoires,1,1,0
1819,2019-03-27,Non inscrits,0,0,1
1818,2019-03-27,Groupe La République en Marche,3,32,2
1818,2019-03-27,Groupe Les Républicains,5,0,0
1818,2019-03-27,Groupe du Mouvement Démocrate et apparentés,0,1,1
1818,2019-03-27,Groupe Socialistes et apparentés,1,0,0
1818,2019-03-27,"Groupe UDI, Agir et Indépendants",0,3,0
1818,2019-03-27,Groupe La France insoumise,0,0,0
1818,2019-03-27,Groupe de la Gauche démocrate et républicaine,2,0,0
1818,2019-03-27,Groupe Libertés et Territoires,1,0,0
1818,2019-03-27,Non inscrits,1,0,0
1817,2019-03-27,Groupe La République en Marche,1,46,3
1817,2019-03-27,Groupe Les Républicains,0,1,4
1817,2019-03-27,Groupe du Mouvement Démocrate et apparentés,0,4,0
1817,2019-03-27,Groupe Socialistes et apparentés,3,0,0
1817,2019-03-27,"Groupe UDI, Agir et Indépendants",0,1,0
1817,2019-03-27,Groupe La France insoumise,0,0,0
1817,2019-03-27,Groupe de la Gauche démocrate et républicaine,2,0,0
1817,2019-03-27,Groupe Libertés et Territoires,0,1,0
1817,2019-03-27,Non inscrits,0,0,1
1816,2019-03-26,Groupe La République en Marche,21,0,0
1816,2019-03-26,Groupe Les Républicains,1,0,0
1816,2019-03-26,Groupe du Mouvement Démocrate et apparentés,2,0,0
1816,2019-03-26,Groupe Socialistes et apparentés,4,0,0
1816,2019-03-26,"Groupe UDI, Agir et Indépendants",2,0,0
1816,2019-03-26,Groupe La France insoumise,0,0,0
1816,2019-03-26,Groupe de la Gauche démocrate et républicaine,0,0,0
1816,2019-03-26,Groupe Libertés et Territoires,1,0,0
1816,2019-03-26,Non inscrits,1,0,0
1815,2019-03-26,Groupe La République en Marche,0,12,0
1815,2019-03-26,Groupe Les Républicains,0,0,1
1815,2019-03-26,Groupe du Mouvement Démocrate et apparentés,0,0,1
1815,2019-03-26,Groupe Socialistes et apparentés,2,0,0
1815,2019-03-26,"Groupe UDI, Agir et Indépendants",1,0,0
1815,2019-03-26,Groupe La France insoumise,0,0,0
1815,2019-03-26,Groupe de la Gauche démocrate et républicaine,0,0,0
1815,2019-03-26,Groupe Libertés et Territoires,2,0,0
1815,2019-03-26,Non inscrits,1,0,0
1814,2019-03-26,Groupe La République en Marche,292,0,1
1814,2019-03-26,Groupe Les Républicains,0,94,10
1814,2019-03-26,Groupe du Mouvement Démocrate et apparentés,44,0,1
1814,2019-03-26,Groupe Socialistes et apparentés,0,29,0
1814,2019-03-26,"Groupe UDI, Agir et Indépendants",11,0,17
1814,2019-03-26,Groupe La France insoumise,0,17,0
1814,2019-03-26,Groupe de la Gauche démocrate et républicaine,0,15,1
1814,2019-03-26,Groupe Libertés et Territoires,1,5,9
1814,2019-03-26,Non inscrits,1,12,1
1813,2019-03-22,Groupe La République en Marche,1,37,2
1813,2019-03-22,Groupe Les Républicains,0,0,2
1813,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,5,0
1813,2019-03-22,Groupe Socialistes et apparentés,4,0,0
1813,2019-03-22,"Groupe UDI, Agir et Indépendants",0,3,0
1813,2019-03-22,Groupe La France insoumise,1,0,0
1813,2019-03-22,Groupe de la Gauche démocrate et républicaine,0,0,0
1813,2019-03-22,Groupe Libertés et Territoires,0,1,0
1813,2019-03-22,Non inscrits,0,0,0
1812,2019-03-22,Groupe La République en Marche,4,33,0
1812,2019-03-22,Groupe Les Républicains,0,3,1
1812,2019-03-22,Groupe du Mouvement Démocrate et apparentés,0,4,0
1812,2019-03-22,Groupe Socialistes et apparentés,3,0,0
1812,2019-03-22,"Groupe UDI, Agir et Indépendants",0,3,0
1812,2019-03-22,Groupe La France insoumise,1,0,0
1812,2019-03-22,Groupe de la Gauche démocrate et républicaine,2,0,0
1812,2019-03-22,Groupe Libertés et Territoires,0,1,0
1812,2019-03-22,Non inscrits,0,0,0
1811,2019-03-22,Groupe La République en Marche,5,34,1
1811,2019-03-22,Groupe Les Républicains,0,3,1
